dates,website,support
None,https://www.factcheck.org/2020/03/false-claims-of-nationwide-lockdown-for-covid-19/,deny
None,https://it-it.facebook.com/factcheck.org/posts/?ref=page_internal,deny
3 16 2020,https://www.scribd.com/article/451961106/False-Claims-Of-Nationwide-Lockdown-For-Covid-19,deny
None,https://www.laniercountynetwork.com/2020/03/16/false-claims-of-nationwide-lockdown-for-covid-19/,deny
None,https://blog.l4networks.com/general-blog/social-media/propaganda/false-claims-of-nationwide-lockdown-for-covid-19/,deny
3 18 2020,https://www.star-telegram.com/news/coronavirus/article241232711.html,deny
4 16 2020,https://zh-cn.facebook.com/appc.org/posts/more-rumor-debunking-from-factcheckorg-false-claims-of-a-nationwide-lockdown-and/2975266722520184/,deny
None,https://infoscum.com/articles/3728229/false-claims-of-nationwide-lockdown-for-covid-19,deny
3 18 2020,https://www.msn.com/en-us/news/us/are-fort-worth-and-other-governments-ready-to-operate-remotely-amid-coronavirus-pandemic/ar-BB11moKq,deny
None,https://uberpeople.net/threads/full-us-lockdown-imminent.387297/,deny
4 20 2020,https://www.onenewspage.com/n/World/1zlqy72dh0/False-Claims-of-Nationwide-Lockdown-for-COVID-19.htm,deny
