dates,website,stance,Unnamed: 3
3 30 2020,https://fullfact.org/online/good-news-coronavirus/,support,
3 20 2020,https://zh-cn.facebook.com/realcommunityservices/posts/how-about-some-good-newschina-has-closed-down-its-last-coronavirus-hospital-not-/2802497636510260/,support,
3 23 2020,https://hospitals.logsign.com/hc/en-us/community/posts/360007730380-China-has-closed-down-its-last-coronavirus-hospital-Not-enough-new-cases-to-support-them,support,
None,https://www.2st.com.au/news/coronavirus-updates/145088-coronavirus-heres-the-good-news,support,
3 18 2020,https://www.facebook.com/dropnshopcreche/posts/how-about-some-good-newschina-has-closed-down-its-last-coronavirus-hospital-not-/539996029981409/,support,
3 18 2020,https://www.facebook.com/pebblemagazine/posts/how-about-some-good-newschina-has-closed-down-its-last-coronavirus-hospital-not-/2800689279968396/,support,
None,https://www.roselawgroup.com/good-news-in-todays-coronavirus-headlines/,support,
3 17 2020,https://roselawgroupreporter.com/2020/03/good-news-in-todays-coronavirus-headlines/,support,
None,https://www.2ec.com.au/news/coronavirus-updates/99192-coronavirus-heres-the-good-news,support,
3 21 2020,https://www.snopes.com/collections/debunker-03-21-2020/,support,
3 19 2020,https://www.magic931.com.au/sharenews/95250-coronavirus-heres-the-good-news,support,
3 24 2020,https://www.magic931.com.au/shows/chris/the-latest-from-chris/95480-some-good-news-about-covid-19,support,
3 17 2020,https://zh-cn.facebook.com/julianlennonofficial/posts/how-about-some-potentially-good-news-china-has-closed-down-its-last-coronavirus-/10157670223171117/,support,
3 17 2020,https://zh-cn.facebook.com/officialjackierice/posts/10157461306885735,support,
3 17 2020,https://zh-cn.facebook.com/WahuKagwiMathenge/posts/how-about-some-good-news-china-has-closed-down-its-last-coronavirus-hospital-not/10158258273079228/,support,
None,https://www.949powerfm.com.au/news/coronavirus-updates/112518-coronavirus-heres-the-good-news,support,
3 19 2020,https://www.magic899.com.au/sharenews/96627-coronavirus-heres-the-good-news,support,
None,https://www.powerfmbegabay.com.au/news/coronavirus-updates/99291-coronavirus-heres-the-good-news,support,
None,https://www.facebook.com/DannyMylo/posts/-how-about-some-good-news-china-has-closed-down-its-last-coronavirus-hospital-no/3024419864292376/,support,
None,https://www.2nm.com.au/news/coronavirus-updates/95170-coronavirus-heres-the-good-news,support,
3 24 2020,https://zh-cn.facebook.com/theroyalgazette/posts/this-is-what-you-dont-see-on-the-newsgood-news-about-corona-virus-from-dave-rams/10158207802622855/,support,
3 17 2020,https://zh-cn.facebook.com/PrettyYendeOfficial/posts/2878179475553609,support,
3 18 2020,https://zh-cn.facebook.com/FlannigansIrishPubEntreNaranjos/posts/ok-how-about-some-good-news-china-has-closed-down-its-last-coronavirus-hospital-/631417627425807/,support,
None,https://www.facebook.com/ProjectForgive/posts/lets-talk-about-some-good-news-china-has-closed-down-its-last-coronavirus-hospit/3537387916335274/,support,
3 19 2020,https://www.5cc.com.au/sharenews/93474-coronavirus-heres-the-good-news,support,
3 19 2020,https://www.wavefm.com.au/news/coronavirus-update/150844-coronavirus-heres-the-good-news,support,
3 19 2020,https://lafm.com.au/news/coronavirus-updates/102528-coronavirus-heres-the-good-news,support,
3 19 2020,https://www.powerfmbegabay.com.au/social-media-news/99290-coronavirus-heres-the-good-news,support,
3 19 2020,https://www.powerfmballarat.com.au/sharenews/97365-coronavirus-heres-the-good-news,support,
3 17 2020,https://www.facebook.com/pebblemagazine/posts/how-about-some-good-newschina-has-closed-down-its-last-coronavirus-hospital-not-/2800689279968396/,support,
3 17 2020,https://www.facebook.com/ProjectForgive/posts/lets-talk-about-some-good-news-china-has-closed-down-its-last-coronavirus-hospit/3537387916335274/,support,
3 17 2020,https://www.facebook.com/VCHFGA/posts/-china-has-closed-down-its-last-coronavirus-hospital-not-enough-new-cases-to-sup/1629588010539080/,support,
3 17 2020,https://www.facebook.com/dropnshopcreche/posts/how-about-some-good-newschina-has-closed-down-its-last-coronavirus-hospital-not-/539996029981409/,support,
None,https://www.2st.com.au/news/coronavirus-updates/145088-coronavirus-heres-the-good-news,support,
3 19 2020,https://www.magic931.com.au/sharenews/95250-coronavirus-heres-the-good-news,support,
3 24 2020,https://www.magic931.com.au/shows/chris/the-latest-from-chris/95480-some-good-news-about-covid-19,support,
3 17 2020,https://www.facebook.com/DannyMylo/posts/-how-about-some-good-news-china-has-closed-down-its-last-coronavirus-hospital-no/3024419864292376/,support,
