dates,website,stance
3 25 2020,https://www.foxnews.com/science/egypt-deep-cleaning-pyramids-coronavirus,support
3 26 2020,https://flipboard.com/topic/historyofscience/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/a-MkurdP7kQRCQijcBCGmeeg%3Aa%3A47769551-027c19f9a8%2Ffoxnews.com,support
3 26 2020,https://foxwilmington.com/science/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://thetop10news.com/2020/03/26/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://www.facebook.com/permalink.php?id=76925920500&story_fbid=10163101059555501,support
3 26 2020,https://www.facebook.com/permalink.php?id=104263474420534&story_fbid=147921973388017,support
3 25 2020,https://foxbangor.com/national-news/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://www.newsday24.com/latest-news-live/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://www.serialpressit.com/2020/03/26/egypt-cleans-pyramids-spots-left-empty-amid-the-coronavirus/,support
3 25 2020,https://namex.co/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://flipboard.com/@philstockworld/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/a-CmAiaG1KTfG8YXaxMAU8SA%3Aa%3A16820675-027c19f9a8%2Ffoxnews.com,support
3 26 2020,http://dieselgasoil.com/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://ari7.com/egyptian-workers-on-wednesday-began-disinfecting-the-area-around-the-famed-giza-pyramids-and-other-popular-tourist-spots-left-empty-amid-the-coronavirus-outbreak/,support
3 26 2020,https://amp.flipboard.com/article/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/a-MkurdP7kQRCQijcBCGmeeg%3Aa%3A47769551-027c19f9a8%2Ffoxnews.com,support
3 26 2020,https://usadailyexpress.com/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://trueredamerican.com/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 25 2020,http://www.hollistercanada.com/?science/egypt-deep-cleaning-pyramids-coronavirus,support
3 27 2020,https://flipboard.com/@vansaint1/masr-egypt-8kem1msbz/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/a-IGzzEbgvQYq_k9xVi6XeBg%3Aa%3A177605551-027c19f9a8%2Ffoxnews.com,support
3 25 2020,https://voiceofthehwy.news/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,http://trueredamerican.com/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,http://datascience4you2me.blogspot.com/2020/03/egypt-starts-deep-cleaning-pyramids-as.html,support
3 26 2020,https://thesunbest.com/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://eaglesdaily.com/egypt-starts-deep-cleaning-pyramids-as-coronavirus-keeps-tourists-away/,support
3 26 2020,https://newstation30.blogspot.com/2020/03/egypt-starts-deep-cleaning-pyramids-as.html,support
3 26 2020,https://pressfrom.info/au/news/world/-189077-egypt-is-disinfecting-its-pyramid-sites-to-stop-the-coronavirus-from-spreading.html,support
