,website,
2 2 2020,https://www.hindustantimes.com/more-lifestyle/herbal-remedies-for-the-coronavirus-spark-debate-in-china/story-hQjvlx2KcLHfsi7G9zGPPO.html,support
2 2 2020,https://www.news18.com/news/world/herbal-remedies-for-the-coronavirus-spark-debate-in-china-2483523.html,support
2 2 2020,https://www.macaubusiness.com/herbal-remedies-for-the-coronavirus-spark-debate-in-china/,support
2 2 2020,http://northeasterntribune.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://kemptonexpress.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,http://kemptonexpress.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,comment
2 2 2020,https://brakpanherald.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://northcoastcourier.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://sowetourban.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://krugersdorpnews.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 3 2020,https://www.thedailystar.net/backpage/news/herbal-remedies-the-coronavirus-spark-debate-china-1862704,support
2 2 2020,http://northcoastcourier.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://lowvelder.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://southcoastherald.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,http://rekordmoot.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china/,support
2 2 2020,https://zululandobserver.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://news.mb.com.ph/2020/02/02/herbal-remedies-for-the-coronavirus-spark-debate-in-china/,support
2 2 2020,https://southcoastsun.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china/,support
2 2 2020,http://letabaherald.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://rekordnorth.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://www.republicworld.com/world-news/rest-of-the-world-news/herbal-remedies-for-the-coronavirus-spark-debate-in-china.html,support
2 2 2020,https://today.line.me/id/pc/article/Herbal+remedies+for+the+coronavirus+spark+debate+in+China-XJR1xX?read_meta=%7B%22label%22%3A%22articlepage_more_article1%22%2C%22group%22%3A%22NA%22%7D,support
2 2 2020,https://today.line.me/id/pc/article/Herbal+remedies+for+the+coronavirus+spark+debate+in+China-XJR1xX?read_meta=%7B%22label%22%3A%22articlepage_more_article2%22%2C%22group%22%3A%22NA%22%7D,support
2 2 2020,https://today.line.me/id/pc/article/Herbal+remedies+for+the+coronavirus+spark+debate+in+China-XJR1xX?read_meta=%7B%22label%22%3A%22articlepage_more_article3%22%2C%22group%22%3A%22NA%22%7D,support
2 2 2020,https://today.line.me/id/pc/article/Herbal+remedies+for+the+coronavirus+spark+debate+in+China-XJR1xX?read_meta=%7B%22label%22%3A%22articlepage_more_article4%22%2C%22group%22%3A%22NA%22%7D,support
2 2 2020,http://www.millenniumpost.in/world/herbal-remedies-for-the-coronavirus-spark-debate-in-china-398554,support
2 3 2020,https://foodevolution.com.ph/2020/02/herbal-remedies-for-the-coronavirus-spark-debate-in-china/,support
2 2 2020,https://parysgazette.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china/,support
2 2 2020,https://albertonrecord.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,comment
2 2 2020,http://northcliffmelvilletimes.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,https://southerncourier.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
2 2 2020,http://capricornreview.co.za/afp/912349/herbal-remedies-for-the-coronavirus-spark-debate-in-china,support
