dates,website
2 3 2020,https://www.dailymail.co.uk/health/article-7961691/Foreign-Office-saved-baby-Brit-dad-hails-officials-hiding-Chinese-sons-birth-certificate.html
None,https://internewscast.com/foreign-office-saved-my-baby-brit-dad-hails-officials-for-hiding-chinese-sons-birth-certificate/
2 3 2020,https://chochilino.com/lifestyle/2020/02/03/medical-news/foreign-office-saved-my-baby-brit-dad-hails-officials-for-hiding-chinese-sons-birth-certificate/
None,https://ole-bloggboken.blogspot.com/search/label/Chicago-Sun-TimesForeign-Office-saved-my-baby-Brit-dad-hails-officials-for-'hiding'-Chinese-son's-birth-certificate-seo+nl
None,http://www.2ravens.co.uk/rss/entry/316637/
None,https://www.aedaily.net/posts/foreign-office-saved-my-baby-brit-dad-hails-officials-for-hiding-chinese-sons-birth-certificate/
None,https://less.news/c/agxzfmhvdG5ld3MtYWlySgsSBENhcmQiQGJmNTI5YzQwMWJiMGI5ZTJjODEyMjc1NGQ1NjEyMWRiMjZmYWQ2YWEyNGFlOTE4MmVhYjc2YTlhMmFkZmVmNGQM/1580748120/Dailymail.co.uk/Foreign-Office-saved-my-baby-Brit-dad-hails-officials-for-hiding-Chinese-son-s-birth-certificate-Daily-Mail
None,https://twnews.co.uk/uk-news/foreign-office-saved-my-baby-brit-dad-hails-officials-for-hiding-chinese-son-s-birth-certificate
None,https://theworldnews.net/uk-news/foreign-office-saved-my-baby-brit-dad-hails-officials-for-hiding-chinese-son-s-birth-certificate
None,https://brainbored.com/tag/certificate/
None,https://www.rctopnews.net/en/news/foreign-office-saved-my-baby-brit-dad-ha
None,https://www.aedaily.net/en-gb/posts/foreign-office-saved-my-baby-brit-dad-hails-officials-for-hiding-chinese-sons-birth-certificate/
None,https://internewscast.com/mike-tyson-proves-class-is-permanent-as-former-heavyweight-world-champion-shows-off-in-padwork/
2 3 2020,https://internewscast.com/police-negotiating-with-man-holding-baby-at-costa-coffee-in-nottingham-city-centre/
2 26 2020,https://internewscast.com/arsenal-training-pictures-kieran-tierney-returns-from-injury-ahead-of-olympiacos-clash/
4 15 2020,https://brainbored.com/laura-whitmore-accidentally-kicks-beau-iain-stirling-in-the-face/
None,https://brainbored.com/tag/dad/page/3/
2 11 2020,https://brainbored.com/frantic-hunt-is-launched-for-patients-treated-by-two-gps-among-eight-infected-with-coronavirus/
2 4 2020,https://chochilino.com/lifestyle/2020/02/04/medical-news/coronavirus-foreign-office-staff-tricked-chinese-officials-so-brit-could-flee-wuhan-with-newborn-son/
None,https://www.easybranches.com/feed/gb/health/3329914
3 6 2020,https://internewscast.com/royals-considering-cancelling-william-and-kates-trip-to-australia-over-coronavirus-fears/
4 7 2020,https://internewscast.com/why-crypto-liquidations-protect-us-all/
4 19 2020,https://internewscast.com/next-seasons-manchester-united-away-kit-leaked-and-has-echoes-of-infamous-1996-edition/
1 13 2020,https://internewscast.com/israeli-police-raid-religious-cult-like-group-in-jerusalem/
1 15 2020,https://internewscast.com/russias-government-resigns-amid-constitutional-changes/
2 4 2020,https://brainbored.com/knifeman-is-shot-and-wounded-after-stabbing-a-police-officer-in-the-hand-in-france/
4 25 2020,https://brainbored.com/newsreader-charlene-white-reveals-how-coronavirus-has-killed-her-great-aunt-and-two-friends/
1 23 2020,https://brainbored.com/darlington-defender-luke-trotman-has-the-backing-of-the-club-as-he-leaves-to-head-onto-love-island/
None,https://flipboard.com/@time/california-elementary-teachers-sue-delta-after-plane-dumps-jet-fuel-over-school/a-j4SrYSE1R-6d4sTwwTSkQA%3Aa%3A154748577-68b5469e56%2Ftime.com
None,http://www.2ravens.co.uk/?page=767
3 28 2020,https://chochilino.com/lifestyle/2020/03/28/medical-news/healthy-dad-27-with-coronavirus-symptoms-dies-10-days-after-birth-of-son/
2 3 2020,https://chochilino.com/lifestyle/2020/02/03/medical-news/first-uk-national-to-contract-deadly-coronavirus-thought-to-be-from-north-wales/
3 9 2020,https://internewscast.com/trump-flew-with-gasmask-congressman-now-in-self-quarantine/
2 3 2020,https://internewscast.com/who-is-george-day-the-lowdown-on-the-casa-amor-star-and-estate-agent-from-southampton/
2 4 2020,https://brainbored.com/egypt-builds-worlds-largest-block-of-flats-420million-mega-structure-designed-by-mohamed-hadid/
None,https://brainbored.com/tony-hetherington-scottishpowers-billing-shambles-may-bankrupt-us/
2 3 2020,https://www.rctopnews.net/sk/news/foreign-office-saved-my-baby-brit-dad-ha
None,https://www.justgraphixmediaconsult.com/police-negotiating-with-man-holding-baby-at-costa-coffee-in-nottingham-city-centre/
None,https://dailyreadlist.com/article/dad-lays-his-baby-on-top-of-stolen-gun-to-hide-it-5
None,https://thailand-lyrics.blogspot.com/search/label/TribLIVEThe-best-baby-food-seo+ar
None,https://thailand-lyrics.blogspot.com/search/label/My-BuckhannonJAMES-C-HOSTETLER-JR--seo+ar
2 3 2020,https://chochilino.com/lifestyle/2020/02/03/medical-news/you-wont-catch-coronavirus-from-packages-from-china-experts-say/
None,https://excel2007-training.blogspot.com/search/label/TribLIVEMargot-Robbie-Reportedly-Eyed-For-Tinker-Bell-In-Disney's-'Peter-Pan--seo+zo
None,https://videosimox.blogspot.com/search/label/GOV-UKLotto-results-LIVE-Winning-numbers-for-Tuesday's-13million-National-Lottery-jackpot-seo+ab
12 5 2019,https://twnews.co.uk/uk-news/moment-cops-gun-down-tarzan-actor-ron-ely-s-son-after-he-stabbed-beauty-queen-mother-to-death
None,https://twnews.co.uk/uk-news/baby-one-is-battling-leukaemia-just-weeks-after-he-nearly-died-from-sepsis
1 13 2020,https://twnews.co.uk/uk-news/army-reservist-honours-uncle-and-cousin-who-died-fighting-kangaroo-island-bushfires
12 3 2019,https://twnews.co.uk/uk-news/drunken-idiot-jumps-off-the-stairs-and-into-christmas-tree-at-his-local-wetherspoon-s
12 22 2019,https://internewscast.com/marc-short-on-impasse-over-impeachment-on-capitol-hill-rep-dingell-on-trumps-comments-about-her-late-husband/
2 3 2020,https://www.rctopnews.net/en/news/markets-may-be-underestimating-coronavir
None,https://cookieclickercheats-1.blogspot.com/search/label/inbrampton-comForeign-Office-saved-my-baby-Brit-dad-hails-officials-for-'hiding'-Chinese-son's-birth-certificate-seo+zr
None,https://top10-cinema-movies.blogspot.com/search/label/Fast-CompanyForeign-Office-saved-my-baby-Brit-dad-hails-officials-for-'hiding'-Chinese-son's-birth-certificate-seo+zo
None,https://kpp-info.blogspot.com/search/label/CMAJDesign-boss-hails-V-seo+nl
None,https://my-first-blog-xad2f.blogspot.com/search/label/POPSUGARBox-office-Gretel--seo+zj
None,https://e-binar.blogspot.com/search/label/The-Washington-PostYang-Hengjun-Chinese-officials-try-to-'break'-Australian-writer-with-daily-interrogations-seo+zh?m=1
