dates,website,,
1 30 2020,https://www.thestar.com.my/tech/tech-news/2020/01/31/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus,support,
1 30 2020,https://www.businessinsider.com/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-2020-1,support,
1 30 2020,https://www.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUSL4N29Z3QU,support,
1 30 2020,https://www.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUKL4N29Z3QU,support,
1 30 2020,https://www.reuters.com/article/us-china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUSKBN1ZT24I,support,
1 30 2020,https://www.moneycontrol.com/news/technology/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-4882941.html,support,
1 30 2020,https://uk.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUKL4N29Z3QU,support,
1 30 2020,https://de.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idINL4N29Z3QU,support,
1 30 2020,https://in.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idINL4N29Z3QU,support,
1 30 2020,https://www.channelnewsasia.com/news/business/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-12371926,support,
1 30 2020,https://de.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUKL4N29Z3QU,support,
1 30 2020,https://de.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUSL4N29Z3QU,support,
1 30 2020,https://www.reuters.com/article/us-china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUSKBN1ZT24I?feedType=RSS&feedName=technologyNews,support,
1 30 2020,https://cn.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUSL4N29Z3QU,support,
1 30 2020,https://tribune.com.pk/story/2147818/8-indian-smartphone-makers-fear-supply-disruptions-due-china-virus/,support,
1 30 2020,https://uk.reuters.com/article/china-health-india-manufacturing/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-idUKL4N29Z3QU?feedType=RSS&feedName=technology-media-telco-SP,support,
1 31 2020,http://www.businessworld.in/article/Indian-Smartphone-Makers-Fear-Supply-Disruptions-Due-To-China-Virus/31-01-2020-183057,support,
1 30 2020,https://www.todayonline.com/world/indian-smartphone-makers-fear-supply-disruptions-due-china-virus,support,
1 30 2020,https://business.financialpost.com/pmn/business-pmn/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus,support,
1 30 2020,https://www.investing.com/news/technology-news/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-2071853,support,
1 30 2020,https://www.nasdaq.com/articles/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-2020-01-30,support,
1 30 2020,https://www.streetinsider.com/Reuters/Indian+smartphone+makers+fear+supply+disruptions+due+to+China+virus/16393039.html,support,
1 30 2020,https://www.srnnews.com/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
1 30 2020,https://www.msn.com/en-ca/money/topstories/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/ar-BBZu9za,support,
1 30 2020,https://in.investing.com/news/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-2120122,support,
1 30 2020,https://www.marketscreener.com/HON-HAI-PRECISION-INDUSTR-6492357/news/Indian-smartphone-makers-fear-supply-disruptions-due-to-China-virus-29915153/,support,
1 30 2020,https://www.techinvestornews.com/Mobile/Latest-Mobile-News/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus,support,
1 30 2020,https://africazilla.com/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-world-news/,support,
1 30 2020,https://1businessworld.com/2020/01/entrepreneurial-news-uk/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
1 30 2020,https://wtvbam.com/news/articles/2020/jan/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/980055/?refer-section=technology,support,
1 30 2020,https://www.bioportfolio.com/news/article/4208435/Indian-smartphone-makers-fear-supply-disruptions-due-to-China-virus.html,support,
1 30 2020,https://wkzo.com/news/articles/2020/jan/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/980055/?refer-section=technology,support,
1 30 2020,https://1660thefan.com/news/articles/2020/jan/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/980055/?refer-section=technology,support,
1 30 2020,https://yournews.com/2020/01/30/1427463/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
1 30 2020,https://financialchickens.com/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
1 30 2020,https://www.facebook.com/india.reuters/posts/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-httpsreutrs2/10157655348430630/,support,
1 30 2020,https://in.news.yahoo.com/indian-smartphone-makers-fear-supply-151519910.html,support,
1 30 2020,https://nykdaily.com/2020/01/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
1 30 2020,https://wsau.com/news/articles/2020/jan/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/980055/,support,
1 30 2020,https://india.timesofnews.com/entertainment/space-technology/coronavirus-outbreak-indian-smartphone-makers-fear-supply-disruptions.html,support,
1 30 2020,https://wtvbam.com/news/articles/2020/jan/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/980055/,support,
1 30 2020,https://m.dailyhunt.in/news/india/english/business+world-epaper-bizworld/indian+smartphone+makers+fear+supply+disruptions+due+to+china+virus-newsid-162634226,support,
