dates,website,
3 15 2020,https://www.poynter.org/?ifcn_misinformation=research-made-by-scientists-from-the-university-of-queensland-in-australia-has-proven-that-bananas-improve-your-immune-system-and-help-prevent-covid-19,deny
3 17 2020,https://www.rappler.com/newsbreak/fact-check/254883-video-bananas-prevent-coronavirus,deny
3 19 2020,https://upload.latest.facebook.com/official.perception/photos/a.114479096796957/128242368753963/?type=3&eid=ARB14khkTfZCVseHApUSzNDtO2Uxc85I3qiOyZrL3v2qLrPZEw-R1sA5KE1C78JM7_UXkcbg_-PLAOHe,deny
3 19 2020,https://www.facebook.com/official.perception/posts,deny
3 17 2020,https://theworldnews.net/ph-news/false-video-saying-bananas-prevent-coronavirus,deny
3 17 2020,https://www.newsunited.com/false-video-saying-bananas-prevent-news/35782704/,deny
3 19 2020,https://t.me/s/Sootiaaa?before=14713,deny
3 19 2020,https://t.me/s/soOtiaAa?before=14717,deny
3 15 2020,https://t.me/s/Sootiaaa?before=14691,deny
3 16 2020,https://telegram.me/s/farazted?before=17434,deny
3 9 2020,https://telegram.me/s/wrmc_sanru?before=568,deny
3 16 2020,https://telegram.me/s/farazted?before=17408,deny
3 13 2020,https://t.me/s/FarazTed?q=%23%D8%A8%D8%B1%D8%B1%D8%B3%DB%8C&after=13468,deny
3 18 2020,https://t.me/s/SoOtiaAa?before=14747,deny
3 9 2020,https://t.me/s/wrmc_sanru?before=568,deny
3 8 2020,https://t.me/s/SOOTIAAA?before=14661,deny
3 8 2020,https://t.me/s/Sootiaaa?before=14662,deny
3 8 2020,https://t.me/s/SOOTIAAA?before=14639,deny
3 16 2020,https://telegram.me/s/farazted?before=17377,deny
3 13 2020,https://telegram.me/s/farazted?before=17327,deny
4 3 2020,https://telegram.me/s/FromFarmToFork?before=6414,deny
3 15 2020,https://t.me/s/sootiaaa?before=14682,deny
